Nom du lieu;Nom du porteur;Adresse mail;Type de porteur;Détail du type de porteur;Adresse;Code postal;Commune;Code INSEE;Numéro de téléphone;Site web;Descriptif;Logo;Photo;Public;Accès;Restrictions d'usage;Tarif(s);Horaires du lundi;Horaires du mardi;Horaires du mercredi;Horaires du jeudi;Horaires du vendredi;Horaires du samedi;Horaires du dimanche;Complément sur les horaires;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);Borne(s) CAF;Connexion Wi-Fi;Complément sur les équipements;Formation;Accompagnement individuel;Fourniture d'équipement;Complément sur les services;Compte InfoLocale;Localisation;Clé;Date de saisie;Date d'enregistrement;Date de modification;Services;Équipements;Ordinateur(s) libellé;Tablette(s) libellé;Scanner(s) libellé;Imprimante(s) libellé;Borne(s) CAF libellé;Connexion Wi-Fi libellé;Formation libellé;Accompagnement individuel individuel libellé;Fourniture d'équipement libellé
Ecole d'Arts - Ateliers numérique;Ecole d'Arts - Ateliers numérique Saint-Nazaire;soazig.jaffre@beauxartsnantes.fr;Institution;;24 avenue Léon Blum;44600;Saint-Nazaire;44184;0240004260;https://beauxartsnantes.fr/sites/default/files/doc/agenda2018.pdf;;;;tout public;;;Création numérique, logiciel graphique, imprimante 3DUtilisation de logiciel payant (photoshop)…Ateliers: 30€ pour les habitants20€ pour les -25ans60€ hors-commune40€ pour -25ans hors-communeaccès à l'ordinateur et libre et gratuit;;14h-16h;14h-16h;14h-16h;14h-16h;;;Ateliers du Lundi au Vendredi: 8h30 - 12h00 et 13h30 - 17h00 et le samedi de de 10 h à 12 h 30 , Accès libre : Mardi, Mercredi, Jeudi, Vendredi: 14 h - 16 h;1;0;1;1;0;1;15 Ordinateurs Mac Wifi Vidéoprojecteur 2 accès à l'Imprimante et 1 Scanners;1;1;0;Accompagnement individuel sur RDV Ateliers collectifs pour création de projet Démonstration ponctuelle gratuite;;47.272408, -2.211955;EYW6-SR6F;2018-12-21T15:42:30+01:00;2018-12-21T15:52:01+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque Anne-Frank;Médiathèque Anne-Frank Saint-Nazaire;mediatheque@mairie-saintnazaire.fr;Bibliothèque / Médiathèque;;51 boulevard Broodcoorens;44600;Saint-Nazaire;44184;02 44 73 45 38;http://www.mediatheque.mairie-saintnazaire.fr;;;;tout public;;;gratuit;;14h-18h30;10h-12h 14h-18h30;14h-18h30;14h-18h30;10h-12h 14h18h;;;1;1;1;1;0;1;12 Ordinateurs et 13 Tablettes, Vidéoprojecteur et Logiciels bureautiques;1;1;0;Ecrivain public numérique (samedi matin hors vacances scolaires), Ateliers numériques, Jeux-vidéos, Labo de langue;;47.260864, -2.256765;ZUS9-BHCY;2018-12-21T16:13:45+01:00;2018-12-21T16:18:29+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque de Pont-château;Médiathèque Intercommunale;bibliopontchateau@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;3 rue du Châtelie;44160;Pontchâteau;44129;0240016117;http:// www.cc-paysdepontchateau.fr/contacts/mediatheque-de-pont-château;;;;tout public;;;gratuit;14h-18h30;14h-18h30;10h-12h30 13h30-18h30;fermé;14h-18h30;10h-12h30 13h30-17h;fermé;;1;0;0;0;0;1;;1;1;1;cours collectif de 6 personnes maximum;;47.431456, -2.075388;A95P-8KSS;2018-12-21T15:06:09+01:00;2018-12-21T15:17:51+01:00;2019-11-02T15:31:35+01:00;Formation,Accompagnement individuel,Fourniture d'équipement;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;Formation;Accompagnement individuel;Fourniture d'équipement
Médiathèque de Guenrouët;Médiathèque intercommunale Pays de Pont-Château Saint-Gildas-des-Bois;biblioguenrouet@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;12 rue André Caux;44530;Guenrouet;44068;0240878006;http://www.guenrouet.fr/la-bibliotheque-intercommunale;;;;tout public;;;gratuit;;16h-18h30;16h-18h30;16h30-18h;;10h-12h;10h-11h30;;1;1;0;1;0;1;La structure dispose de 5 ordinateurs et un vidéoprojecteur;1;1;0;;;47.51975, -1.955245;V7P7-6E7H;2018-12-21T11:56:54+01:00;2018-12-21T12:01:44+01:00;2019-11-02T15:40:58+01:00;Formation,Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;Formation;Accompagnement individuel;
Médiathèque Jules Verne;Médiathèque de Donges;mediatheque@ville-donges.fr;Bibliothèque / Médiathèque;;13 rue René Laënnec;44480;Donges;44052;0240910131;http://mediatheque.ville-donges.fr;;;;tout public;;Besoin d'un accord parentale pour les mineurs;gratuit;;9h30-12h15;9h30-12h15 14h30-18h;9h30-12h15;9h30-12h15 14h30-18h;9h30-12h15;;;1;0;0;1;0;1;Besoin d'un accord parental pour les mineurs;0;1;0;Accompagnement occasionnel selon la disponibilité.;;47.319102, -2.074755;N2YE-NX2Z;2018-12-21T11:43:25+01:00;2018-12-21T11:49:06+01:00;2019-11-02T15:40:00+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Office de Tourisme La Baule;Office de Tourisme La Baule;labaule@bretagne-plein-sud.fr;Institution;;8 place dela Victoire;44500;La Baule-Escoublac;44055;0240243444;http://www.labaule-guerande.com;;;;tout public;;;gratuit;10h-12h30 14h-18h;;;;;10h-12h30 14h-18h;;"Horaires du 7/07 au 31/08: tous les jours: 9h30-19h.
Du 1/10 au 31/03: Lundi au Samedi: 10h-12h30 et 14h-18h et 10-13h les jours fériés.
Du 1/04 au 06/07 et du 1/09 au 30/09: Lundi au Samedi: 10h-12h30 et 14h-18h et 10-13h et 15h-17h les jours fériés et dimanches.";0;1;0;0;0;1;;0;1;0;;;47.286629, -2.391416;Q6D8-M9LV;2018-12-21T12:43:58+01:00;2018-12-21T12:46:51+01:00;2019-11-02T15:43:02+01:00;Accompagnement individuel;Tablette(s),Connexion Wi-Fi;;Tablette(s);;;;Connexion Wi-Fi;;Accompagnement individuel;
Point Info Mobile;Point Info Mobile;;Institution;;19 rue du Général Leclerc;44510;Le Pouliguen;44135;0240423105;http://www.tourisme-lepouliguen.fr/wifi-au-pouliguen.html;;;;tout public;;;gratuit;9h-19h;9h-19h;9h-19h;9h-19h;9h-19h;9h-19h;9h-12h;1er et 3ème vendredi du mois: 12h-19hsession d'une heure par personne;0;0;0;0;0;1;;0;0;0;;;47.27837, -2.429463;HANW-L2HD;2018-12-21T12:29:57+01:00;2018-12-21T12:38:57+01:00;2019-11-02T15:46:38+01:00;;Connexion Wi-Fi;;;;;;Connexion Wi-Fi;;;
Espace civique Jacques Dubé;Espace civique Jacques Dubé Saint-Nazaire;;Institution;;1 bis rue des Ajoncs;44600;Saint-Nazaire;44184;0228559973;;;;;tout public;;;gratuit;14h-19h;9h-12h 14h-18;9h-12h 14h-18;9h-12h 14h-18;9h-12h 14h-18;;;;0;0;0;1;0;0;accès Imprimante accès Photocopieuse;0;1;0;;;47.267608, -2.249793;TLEE-CPG2;2018-12-21T12:53:03+01:00;2018-12-21T12:58:14+01:00;2019-11-02T16:01:51+01:00;Accompagnement individuel;Imprimante(s);;;;Imprimante(s);;;;Accompagnement individuel;
Cybercentre Guérande;mairie de Guérande;cybercentre@cybercentre-guerande.fr;Association;;2 avenue Anne de Bretagne;44350;Guérande;44069;0240247373;http://www.cybercentre-guerande.fr;"Ouvert depuis le 16 septembre 23, le Cybercentre a vu le jour suite à une initiative du CMA. Ouvert à tous les publics (de 7 à 77 ans), le Cybercentre accueille aujourd'hui plus 4 personnes tous les mois.
Particuliers, associations, collectivités sont les bienvenus dans cet espace ou la convivialité et le multimédia font bon ménage.";siteon0-12cfa.png;;tout public;ligne 1 La Baule - Guérande;;Gratuit pour l'accès libre, cotisation annuelle pour les ateliers : de 0€ à 20 € / cotisation vacances (4 mois) : 10 € / coût des ateliers : de 1 € à 3, € / Internet gratuit pour les usagers ayant une cotisation. Sinon 2€ l'heure.  Impressions 0,20 € la page en noir et blanc, 0,40 € la page couleur.;fermé;9h30-12h 16h30-18h;16h30-18h;16h-18h;16h30-18h;fermé;fermé;Des ateliers sont organisés le lundi après-midi, le mercredi matin, le vendredi matin.;1;0;1;1;0;1;;1;0;0;;;47.330367, -2.424714;NCFJ-M9J6;2019-11-02T15:41:23+01:00;2019-11-02T15:41:23+01:00;2019-11-02T15:41:33+01:00;Formation;Ordinateur(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;Scanner(s);Imprimante(s);;Connexion Wi-Fi;Formation;;
Cyberbase Nantes;Maison de l'emploi;;Institution;;81 rue des renards;44300;Nantes;44109;0240599843;http://www.me-metropole-nantaise.org;"Réaliser CV et lettres de motivations
Écrire et modifier des documents sur ordinateur en rapport avec les démarches à l'emploi
Rechercher et postuler aux offres d'emploi
Diffuser son profil en ligne, se renseigner sur une entreprise, repérer et préparer son trajet
Apprendre à utiliser un ordinateur et Internet
Apprendre à taper du texte et le mettre en forme
Créer sa boite mail et savoir la gérer
Préparer et développer des outils pour la recherche d'emploi
Trouver une formation
Découvrir les métiers et secteurs qui recrutent et préparer son entrée en formation
Orienter pour les démarches de création/reprise d'entreprise
Trouver les informations et les professionnels de son secteur d'activité
Proposer ses services et développer son offre";;;tout public;tram ligne 2 bus 96  arrêt  Santos Dumont;uniquement pour les recherches d'emploi;gratuit;8h30-12h30 13h30-16h30;8h30-12h30  13h30-16h30;8h30-12h30  13h30-16h30;13h30-16h30;8h30-12h30  13h30-16h30;fermé;fermé;;1;0;1;1;0;0;;0;1;0;;;47.254809, -1.565672;CBUN-4AVW;2019-12-02T11:06:22+01:00;2019-12-02T11:06:22+01:00;2019-12-02T11:06:57+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;Accompagnement individuel;
Gullivigne;Gullivigne;contact@gullivigne.org;Association;;Esplanade de Klettgau, Salle Aquatrium;44190;Clisson;44043;0670773692;https://gullivigne.org;Association d'utilisateurs de logiciels libres, proposant une alternative à Microsoft.;;;tout public;Gare de Clisson;;30€/ adulte pour l'adhésion annuelle et 15€/ moins de 18 ans;fermé;fermé;fermé;fermé;18h-21h;10h-18h;fermé;Association itinérante, voir le calendrier sur leur site;1;0;0;0;0;0;imprimante 3D;1;1;0;Atelier débutant (bureautique, Internet, mail) / Ateliers Jeunes 8/13 ans (programmation scratch) / Ateliers avancés et ateliers musicaux / installation de logiciels et dépannage / atelier imprimante 3D, cartographie, programmation;https://infolocale.ouest-france.fr/clisson-44043/annuaire/gullivigne_366516;47.094459, -1.289245;L89K-L6TW;2018-11-21T14:37:38+01:00;2018-11-21T14:37:38+01:00;2019-11-02T15:38:57+01:00;Formation,Accompagnement individuel;Ordinateur(s);Ordinateur(s);;;;;;Formation;Accompagnement individuel;
Maison de l'emploi Bellevue;Maison de l'emploi Bellevue;espace.bellevue@me-metropole-nantaise.org;Institution;;46 boulevard Jean Moulin;44100;Nantes;44109;0251804151;http://www.me-metropole-nantaise.org/;La maison de l'emploi vise à regrouper, dans un même lieu, l'ensemble des services de l'emploi, la formation et la création d'entreprise.;;;demandeurs d'emploi;tram ligne 1 - arrêt Jean Moulin;uniquement pour les recherches d'emploi;gratuit;8h30-12h30 13h30-16h30;8h30-12h30 13h30-16h30;8h30-12h30 13h30-16h30;13h30-16h30;8h30-12h30 13h30-16h30;fermé;fermé;;1;0;0;1;0;0;8 ordinateurs en accès libre;1;1;0;cycle d'ateliers autour de l'emploi et du numérique. Les ateliers sont destinés aux demandeurs d'emploi et sur inscription.;;47.205752, -1.601586;NZNF-KYVM;2018-03-23T16:55:24+01:00;2019-12-02T11:07:03+01:00;2019-12-02T11:07:31+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;Formation;Accompagnement individuel;
Association Culturelle et Musulmane Nantes Nord;Association Culturelle et Musulmane Nante Nord;acmnn@wanadoo.fr;Association;;6 rue Samuel de Champlain;44300;Nantes;44109;0240160098;http://www.acmnn.fr/;"L'ACMNN propose différents services au niveau des démarches numériques : 
- La traduction informelle : l'association peut aider les usagers en difficulté avec la maîtrise de la langue française. ( ne dispose cependant pas de l'assermentation permettant de traduire les documents officiels ) 
- Démarches admnisitratives";;;tout public;Tram ligne 2 Bus 96  Chronobus C2  Arrêt Chêne des anglais;;gratuit;10h-12h  15h-17h;10h-12h  15h-17h;10h-12h 15h-17h;10h-12h  15h-17h;10h-12h 15h-17h;fermé;fermé;;1;0;1;1;0;0;;0;1;0;Cour d'Arabe Accompagnement à la scolarité;;47.26081, -1.574334;D4Z5-UTNX;2019-11-02T15:21:43+01:00;2019-11-02T15:21:43+01:00;2019-12-02T11:18:10+01:00;Accompagnement individuel;Ordinateur(s),Scanner(s),Imprimante(s);Ordinateur(s);;Scanner(s);Imprimante(s);;;;Accompagnement individuel;
Comme un roman;Médiathèque du Landreau;bibliothequelelandreau@orange.fr;Bibliothèque / Médiathèque;;2 bis rue Saint Vincent;44430;Le Landreau;44079;0240037631;http://bibliotheque.le-landreau.fr/vufind/;Espace de lecture et de documentation ouvert à tous et bénéficiant d'un équipement numérique;;;tout public;;;gratuit;fermé;fermé;10h30-13H 14h-18h30;fermé;15h30-19h;10h30-13h;10h30-11h30;;1;1;1;1;0;1;2 ordinateurs avec connexion internet, scanner à disposition, 2 tablettes et 2 e-books, 1H de connexion par jour;0;0;0;Ateliers tablettes: heure du conte numérique, ateliers de sensibilisation sur le numérique;;47.203427, -1.305946;R98Q-FLS4;2018-11-21T15:23:37+01:00;2018-11-21T15:23:37+01:00;2019-11-02T15:46:05+01:00;;Ordinateur(s),Tablette(s),Scanner(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);Scanner(s);Imprimante(s);;Connexion Wi-Fi;;;
Casse ta routine;Casse ta routine;cassetaroutine@gmail.com;Association;;56 route de la Chapelle-sur-Erdre;44300;Nantes;44109;0272659447;;"L'association a un objectif de relais, de médiation sociale et d'accompagnement. Cette mission se décline en différentes actions :
- Administratif (création de boîtes mail ,démarches CAF/Pôle emploi/Sécurité Sociale/Préfecture etc)
- Aide à l'insertion professionnelle ( CV, lettres de motivation, recherches d'emploi, stages ) 
- Orientation et aides aux recours 
- Médiation";;;tout public;"tram ligne 2 - arrêt ""chêne des anglais"" chronobus C2 - arrêt "" la coulée """;;gratuit;9h-12h  14h-18h;9h-12h  14h-18h;9h-12h  14h-18h;9h-12h  14h-18h;9h-12h  14h-18h;fermé;fermé;;1;0;0;1;0;0;;0;1;0;;;47.257409, -1.575522;ZMUV-F842;2019-11-02T15:24:32+01:00;2019-11-02T15:24:32+01:00;2019-12-02T11:04:59+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Guichet Unique Emploi St-Brévin-les-Pins;Guichet Unique Emploi;gue@cc-sudestuaire.fr;Institution;;6 rue Jules Ferry;44250;Saint-Brévin-les-Pins;44154;0240393701;http://saint-brevin.fr/mairie/guichet-unique-emploi.html;;;;demandeurs d'emploi;5 min à pied de l'arrêt Centre des Pins (ligne 17 de la navette Brévibus);;gratuit;9h-12h 14h-16h30;9h-12h 14h-16h30;9h-12h 14h-16h30;9h-12h 14h-16h30;9h-12h;fermé;fermé;;1;0;0;1;0;0;;0;1;0;Aide et conseils des agents du service + point numérique CAF;;47.248052, -2.167675;M4EY-XZMW;2019-01-17T12:36:07+01:00;2019-01-17T12:36:07+01:00;2019-11-02T15:54:30+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;;Accompagnement individuel;
Médiathèque de Lusanger;Communauté de commune de Derval;;Bibliothèque / Médiathèque;;1 rue de la gare;44590;Lusanger;44086;0240076631;http://www.biblios-ccsd.net/;1 postes informatiques internet et outils bureautiques (excel, word);;;tout public;;;gratuit;fermé;10h-12h;15h-17h;fermé;16h-17h;fermé;fermé;;1;0;0;0;0;1;;0;1;0;;;47.679817, -1.587616;HBFQ-MAYH;2019-11-02T15:47:09+01:00;2019-11-02T15:47:09+01:00;2019-11-02T15:47:16+01:00;Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;Accompagnement individuel;
Relais Accueil Proximité Petit auverné;Relais Accueil Proximité Petit auverné;;Association;;7 rue Sophie Trébuchet;44670;Petit-Auverné;44121;0240555932;http://www.rap-relais-accueil-proximite.fr/;Accompagnement dans les démarches administratives sur RDV. Stage de formation possible : 1 stage d’initiation et 1 stage de perfectionnement (selon les demandes des adhérents).;;;tout public;;Réservé aux adhérents;adhésion participative;9h15-12h30 13h30-16h;9h15-12h30 13h30-16h;9h15-12h30 13h30-16h;9h15-12h30 13h30-16h;9h15-12h30 13h30-16h;;;;1;0;0;0;0;0;;1;0;0;;;47.609159, -1.29027;WVSM-PNK4;2018-05-31T13:05:14+02:00;2018-05-31T13:26:34+02:00;2019-11-02T15:51:07+01:00;Formation;Ordinateur(s);Ordinateur(s);;;;;;Formation;;
Médiathèque de Fay de bretagne;Médiathèque de Fay de bretagne;mediatheque@faydebretagne.fr;Bibliothèque / Médiathèque;;2 rue Georges Sicard;44130;Fay-de-Bretagne;44056;0240873365;http://www.faydebretagne.fr/jsp/site/Portal.jsp?page_id=120;Espace de lecture et point d'accès numérique.;;;tout public;;;gratuit.;fermé;16h-18h;10h-13h 15h-18h;fermé;16h-18h;10h-12h;10h30-12h15;;1;0;0;0;0;0;2 postes avec accès internet.;0;0;0;;;47.415368, -1.792399;QNU9-C87N;2019-11-02T15:30:20+01:00;2019-11-02T15:30:20+01:00;2019-11-02T15:30:26+01:00;;Ordinateur(s);Ordinateur(s);;;;;;;;
Médiatheque de Mouais;Médiatheque de Mouais;aurelie.genay@cc-chateaubriant-derval.fr;Bibliothèque / Médiathèque;;3 place de l'église;44590;Mouais;44105;0240076734;http://www.biblios-ccsd.net/;;;;tout public;;tout public;gratuit;fermé;fermé;fermé;fermé;fermé;14h-17h;fermé;;1;0;0;0;0;1;outil de bureautique;0;0;0;;;47.696335, -1.644657;VKHE-7FKZ;2019-11-02T15:50:20+01:00;2019-11-02T15:50:20+01:00;2019-11-02T15:50:28+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Point Numérique CAF St-Philibert-de-Gd-Lieu;CCAS;;Institution;;24 rue de l'Hôtel de ville;44310;Saint-Philbert-de-Grandlieu;44188;0240789972;http://www.stphilbert.fr/;;;;tout public;;;gratuit;14h-17h;9h30-12h30 14h-17h;9h30-12h30 14h-17h;9h30-12h30 14h-17h;9h30-12h30 14h-17h;9h-12h;fermé;;1;0;0;1;0;1;;0;0;1;;;47.037599, -1.642116;U8CC-XWAV;;;2019-11-02T16:03:27+01:00;Fourniture d'équipement;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;;Fourniture d'équipement
Bibliotheque de Rougé;Bibliotheque de Rougé;;Bibliothèque / Médiathèque;;1 rue du Vieux Rougé;44660;Rougé;44146;02 40 28 70 30;http://castelbriantais.e-sezhame.fr/node/content/nid/14408;;;;tout public;;non;Gratuite pour les résidents du territoire. 5,90 euros pour les résidents hors territoire;fermé;fermé;16h30-18h00;fermé;10h00-12h00;10h30-12h00;10h30-12h00;;1;0;0;0;0;1;;0;0;0;;;47.783767, -1.448952;NCEX-783D;2018-01-06T12:48:16+01:00;2018-01-06T12:51:46+01:00;2019-11-02T15:53:43+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Bibliotheque de Ruffigné;Bibliotheque de Ruffigné;;Bibliothèque / Médiathèque;;rue des jonquilles;44660;Ruffigné;44148;02 28 04 02 71;http://castelbriantais.e-sezhame.fr/node/content/nid/14409;;;;tout public;;non;pour les résidant:gratuitpour les personnes hors commune:5.90€;fermé;10h00-12h00;10h00-12h00 15h00-17h00;fermé;fermé;10h30-12h00;fermé;;1;0;0;0;0;1;;0;0;0;;;47.756278, -1.491437;HTN8-3B4B;2018-01-06T12:35:03+01:00;2018-01-06T12:46:13+01:00;2019-11-02T15:53:56+01:00;;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;;
Start'Air Jeunes Saint-Joachim;Start'AIR Jeunes Saint-Joachim;contact@startair.fr;Association;;zone sportive de Brécun;44720;Saint-Joachim;44168;0769024819;http://www.startair.fr/saint-joachim;;;;13-25 ans;;;Habitant de Saint-Joachim, et les adhérants de Montoir-de-Bretagne et Saint-Malo-de-Guersac : 7€ par an;;15h-18h;14h-18h30;15h-18h;15h-18h;14h-18h30;;vacances scolaire du lundi au vendredi de 14h- 18h 30;1;1;0;1;0;1;2 Ordinateur 1 Tablette Wifi et accès imprimante;0;1;0;;;47.382608, -2.191819;BBDB-AMHT;2018-12-21T11:58:57+01:00;2018-12-21T12:10:02+01:00;2019-11-02T15:56:42+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathéque Sion-les-mines;Communauté de commune de Derval;aurelie.genay@cc-chateaubriant-derval.fr;Bibliothèque / Médiathèque;;1 place du Breil;44590;Sion-les-Mines;44197;0240289609;http://www.biblios-ccsd.net/;"- 12 places assises
- Tables de travail
- 1 poste informatique
- Internet et outils de bureautique
- Mobilier adapté aux enfants";;;tout public;à proximité de l' arret;;gratuit;fermé;16h-19h;10h-12h;16h-18h;16h-18h;fermé;10h30-12h30;;1;0;0;0;0;1;;0;1;0;;;47.736718, -1.590792;UBGU-8SGF;2019-11-02T16:04:46+01:00;2019-11-02T16:04:46+01:00;2019-11-02T16:04:52+01:00;Accompagnement individuel;Ordinateur(s),Connexion Wi-Fi;Ordinateur(s);;;;;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque de Malville;Médiathèque intercommunale Estuaire et Sillon, Espace Thalweg;mediatheque.malville@estuaire-sillon.fr;Bibliothèque / Médiathèque;;8 place de l’Église;44260;Malville;44089;0240560224;http://www.mediatheques.estuaire-sillon.fr/malville;;;;tout public;;;Accès imprimante payant (0,10€ noir/blanc0,50€ en couleurs);fermé;15h30-18h;14h-18h;fermé;fermé;9h30-12h30;fermé;;1;0;0;1;0;1;Imprimante payant;0;1;0;;;47.360577, -1.863804;64YD-LSAH;2018-12-21T11:49:26+01:00;2018-12-21T12:00:00+01:00;2019-11-02T15:47:39+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque de Bouée;Médiathèque intercommunale Estuaire et Sillon;bibliotheque.bouee@estuaire-sillon.fr;Bibliothèque / Médiathèque;;8 place de l'Eglise;44260;Bouée;44019;0240549787;http://www.mediatheques.estuaire-sillon.fr/bouee;Médiathèque intercommunale d'Estuaire et Sillon;;;tout public;;;gratuit;;16h-18h;15h-18h;;16h-19h;10h30-12h30;;Horaire hors vacances scolaire;1;1;0;1;0;0;"Accès imprimante payante 0,20€noir/blanc ; 0,50€ couleurs ; et la structure possède 2 ordinateurs";0;1;0;;;47.319318, -1.910066;YTGT-C3CE;2018-12-21T10:58:43+01:00;2018-12-21T11:07:18+01:00;2019-12-02T10:38:39+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s);Ordinateur(s);Tablette(s);;Imprimante(s);;;;Accompagnement individuel;
Espace Multimédia Léo Lagrange;Espace Multimédia Léo Lagrange Saint-Nazaire;stnazaire.espacemultimedia@leolagrange.org;Bibliothèque / Médiathèque;;1 bis rue des Ajoncs;44600;Saint-Nazaire;44184;0240008832;http://www.espacemultimedia.over-blog.org;;;;tout public;;;Gratuit pour les Nazairiens Payant hors commune : 15€;16h-18h30;;14h-18h30;17h-19h;;;;réservation: lun: 14h à 16h mar, jeu, ven: 9h à 12h;1;0;0;1;0;0;7 Ordinateur accès Imprimante;1;1;0;Aides administrative démarches emploi, CAF, ANTS;;47.267608, -2.249793;AMXS-CNKW;2018-12-21T12:43:19+01:00;2018-12-21T12:51:11+01:00;2019-11-02T16:01:51+01:00;Formation,Accompagnement individuel;Ordinateur(s),Imprimante(s);Ordinateur(s);;;Imprimante(s);;;Formation;Accompagnement individuel;
Bibliothèque Louise Michel;Bibliothèque Saint-Joachim;bibliotheque.saintjoachim@orange.fr;Bibliothèque / Médiathèque;;77 rue Joliot-Curie;44720;Saint-Joachim;44168;0240616922;http://stjoachim.opac3d.fr;;;;tout public;;;gratuit;;16h30-18h30;10h-12h30 14h-18h;;16h-19h;10h-12h30 14h-17h;;;1;1;0;1;0;1;3 Ordinateur 4 Tablette Wifi Impression payante;0;1;0;;;47.384309, -2.202267;8WSE-LRCK;2018-12-21T11:49:37+01:00;2018-12-21T11:58:54+01:00;2019-11-02T15:56:33+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);Tablette(s);;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque Colette;Médiathèque Colette Saint-Malo-de-Guersac;mediatheque@saintmalodeguersac.fr;Bibliothèque / Médiathèque;;rue jean Macé;44550;Saint-Malo-de-Guersac;44176;0240911021;http://mediatheque-colette.opac3d.fr/search.php?action=Accueil;;;;tout public;;;gratuit;;17h00-18h30;10h-12h30 14h00- 18h30;;16h-18h30;10h-12h30 14h-17h00;;;1;0;0;1;0;1;Vidéoprojecteur 3 Ordinateur Imprimante (limité) et Wifi;0;1;0;;;47.352878, -2.179657;FDPQ-577Y;2018-12-21T12:21:35+01:00;2018-12-21T12:31:05+01:00;2019-11-02T15:59:49+01:00;Accompagnement individuel;Ordinateur(s),Imprimante(s),Connexion Wi-Fi;Ordinateur(s);;;Imprimante(s);;Connexion Wi-Fi;;Accompagnement individuel;
Médiathèque de Drefféac;Médiathèque intercommunale Pays de Pont-Château Saint-Gildas-des-Bois;bibliodreffeac@cc-paysdepontchateau.fr;Bibliothèque / Médiathèque;;1 rue des Tilleuls;44530;Drefféac;44053;0240176054;www.cc-paysdepontchateau.fr/contacts/bibliotheque-de-dreffeac-2;;;;tout public;;;gratuit;;;10h-12h 15h-18h;;16h-18h;10h-12h;;;1;1;0;1;0;0;1 ordinateur et 1 tablette;0;1;0;;;47.474681, -2.061063;E27K-LDQF;2018-12-21T11:52:41+01:00;2018-12-21T11:56:51+01:00;2019-11-02T15:40:17+01:00;Accompagnement individuel;Ordinateur(s),Tablette(s),Imprimante(s);Ordinateur(s);Tablette(s);;Imprimante(s);;;;Accompagnement individuel;
