	adresse	code_postal	horaires	lat	lng	nom_structure	services	telephone	ville
77	La Friche Belle de Mai - 41 rue Jobin	13003	Tous les Jeudi, vendredi et samedi de 14h à 18h.	43.3105494	5.3900405	ZINC	Vidéo : découvrir le montage vidéo / Modélisation 3D / Découverte et utilisation d'une découpeuse numérique / Découverte et utilisation imprimante 3D / Panorama d’usages créatifs du numérique / Panorama de la création artistique numérique / Fablab : charte, valeurs et panorama des outils numériques	04.95.04.95.11	
78	7 rue des aigrettes	17780	Du lundi au samedi, de 8h à 20h, toujours de bonne humeur.	45.9183559	-1.0339548	MonAssistantNumerique Pays Rochefortais	Découvrir et participer à des MOOCs / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Organiser et partager sa veille / Découvrir et contribuer à OpenStreetMap / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Découverte / Suivre la scolarité de son enfant / Snapchat / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Signer numériquement des documents administratifs / Poste informatique Windows / Poste informatique Linux / Poste informatique Mac OS / Pinterest : Découverte / Pinterest : Appronfondissement / Outils numériques pour maîtriser sa consommation énergétique / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Gérer ses droits d'assuré social en ligne/sur internet / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Pôle Emploi : faire ses déclarations en ligne / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les outils de protection de l’enfance / Le logiciel libre : principes et enjeux / Les monnaies virtuelles / Le smartphone : principes de fonctionnement / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Comprendre les cultures numériques : les jeux vidéos  / Comprendre les cultures numériques : usages collaboratifs / Big Data / Open Data : comprendre les données	06.43.66.25.51	
79	Place de Gouville BP 39	50180		49.115496	-1.113397	EPN Saint-Lô Agglo - Médiathèque Agneaux	Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Vidéo : découvrir le montage vidéo / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Modélisation 3D / Images : retoucher ses photos / Découvrir et participer à des MOOCs / Découvrir et expérimenter la programmation informatique (code) / Découverte et utilisation imprimante 3D / Découverte et utilisation d'une découpeuse numérique / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Utiliser des outils de cartographie / Découvrir et contribuer à OpenStreetMap / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Poste informatique Windows / Pinterest : Découverte / Pinterest : Appronfondissement / Photo numérique : usages courants (prise de vue, réglages) / Organiser, explorer et partager des contenus numériques / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Appronfondissement / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des objets connectés (Domotique, Sécurité, Santé) / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Fablab : charte, valeurs et panorama des outils numériques / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir l’univers des jeux vidéos / Découvrir les réseaux sociaux : définition, fonctionnement / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les outils de protection de l’enfance / Le smartphone : principes de fonctionnement / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Comprendre les cultures numériques : les jeux vidéos 	02.14.29.00.54	Agneaux
80	18 rue de Moscou	40140		43.748441	-1.3245057	L'Établi		06.37.20.21.53	Soustons
81	73 rue du stade	40260	Lundi, mardi, jeudi, vendredi - 9h à 17h et avec le sourire ! 	43.8805914	-1.1374425	FISH	Neutralité du net : de quoi parle-t-on ? / Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Vidéo : découvrir le montage vidéo / Services et plateformes de démocratie participative / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Modélisation 3D / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découvrir et participer à des MOOCs / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour gérer ses emails / Les outils libres pour la navigation Internet / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Organiser et partager sa veille / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Snapchat / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Poste informatique Windows / Pinterest : Découverte / Pinterest : Appronfondissement / Organiser, explorer et partager des contenus numériques / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes d’économie collaborative / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Panorama de la création artistique numérique / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Les paiements en ligne / Les outils de protection de l’enfance / Le smartphone : principes de fonctionnement / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Comprendre les cultures numériques : usages collaboratifs / Big Data / Open Data : comprendre les données	07.86.86.69.85	CASTETS
82	12 rue du sureau	67201	Du lundi au vendredi de 8h à 12h et de 14h à 18h	48.5859775	7.6820463	MonAssistantNumérique.com Strasbourg	Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Packs n°1 / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Découvrir et participer à des MOOCs / Découvrir et expérimenter la programmation informatique (code) / Créer, paramétrer et utiliser une liste de diffusion / Créer un site web avec WordPress / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Organiser et partager sa veille / Découvrir et contribuer à OpenStreetMap / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Suivre la scolarité de son enfant / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Signer numériquement des documents administratifs / Poste informatique Linux / Poste informatique Mac OS / Poste informatique Windows / Outils numériques pour maîtriser sa consommation énergétique / Organiser, explorer et partager des contenus numériques / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Fablab : charte, valeurs et panorama des outils numériques / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les outils de protection de l’enfance / Les licences libres / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Comprendre les cultures numériques : usages collaboratifs / Fonctionnement d’une box internet / Big Data / Open Data : comprendre les données	0699381423	Eckbolsheim
83	17 Square des Tonneliers	13111		43.5548371	5.2387865	JDS PRO (Réseau Mon Assistant Numérique)	Utilisation d'un emplacement de co-working / Organiser sa recherche d'emploi / Découvrir les métiers du numérique / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Packs n°1 / Nettoyer son identité numérique / Effacer ses traces sur le web, protéger ses données personnelles / Connaitre et gérer son identité numérique / Vidéo : découvrir le montage vidéo / Utiliser des cartes, capteurs et outils interactifs / Services et plateformes de démocratie participative / Savoir pitcher son projet en 5 minutes / PAO : publier des présentations / diaporamas en ligne / PAO : faire des présentations, des diaporamas / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Images : retoucher ses photos / Découvrir et participer à des MOOCs / Découverte et utilisation imprimante 3D / Découverte et utilisation d'une découpeuse numérique / Créer, paramétrer et utiliser une liste de diffusion / Les solutions libres pour Les outils bureautiques / Les outils libres pour la navigation Internet / Les outils libres pour gérer ses emails / Les outils disponibles pour sécuriser ses usages numériques / Les alternatives à Google Drive / Les alternatives à Facebook / Utiliser et contribuer à Wikipedia / Utiliser des outils de cartographie / Organiser et partager sa veille / Découvrir et contribuer à OpenStreetMap / Twitter : Découverte / Twitter : Approfondissement / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Utilisation avancée / Traitement de texte : Découverte / Tableur : Utilisation de base / Tableur : Utilisation avancée / Tableur : Découverte / Suivre la scolarité de son enfant / Snapchat / Smartphone : Télécharger une application sur les stores / Smartphone : Réglage et configuration de l'appareil / Smartphone : Les principaux gestes pour l'écran tactile / Smartphone : Les fonctionnalités de base / Smartphone : Les applications clés / Smartphone : Environnement IOS / Smartphones et Tablettes sous Androïd / Skype / Signer numériquement des documents administratifs / Poste informatique Windows / Poste informatique Mac OS / Poste informatique Linux / Pinterest : Découverte / Pinterest : Appronfondissement / Photo numérique : usages courants (prise de vue, réglages) / Outils numériques pour maîtriser sa consommation énergétique / Organiser, explorer et partager des contenus numériques / Marchés publics : Signer numériquement ses réponses / Internet : paramétrer un réseau wifi / Internet : envoyer, recevoir, gérer ses emails / Instagram : Découverte / Instagram : Appronfondissement / Images : gérer ses photos en ligne / Gérer ses favoris de navigation / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud) / Google Drive : Utilisation / Facebook : Découverte / Facebook : Appronfondissement / Découvrir des alternatives libres et gratuits aux logiciels / Créer et paramétrer un compte Google / Classer, gérer et partager ses photos / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama d’usages créatifs du numérique / Panorama des usages numériques des adolescents / Panorama des plateformes d’économie collaborative / Panorama des plateformes de recherche d’emploi / Panorama des outils du cloud / Panorama des outils de webconférence / Panorama des outils de travail collaboratif / Panorama des objets connectés (Domotique, Sécurité, Santé) / Panorama de la création artistique numérique / Marchés publics : panorama des plateformes / Les mécanismes excessifs ou addictifs liés au numérique / Les conduites à risques et les bons usages du numérique / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Internet : fonctionnement des clients webmail / Fonctionnement des plateformes de musique et de film en ligne / Fablab : charte, valeurs et panorama des outils numériques / Etre parent à l'ère numérique: connaître les usages, jouer son rôle de parent / Découvrir l’univers des jeux vidéos / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Composantes et facettes de l’identité numérique / Téléphonie : comprendre et comparer des offres mobiles / Techniques de vérification de l’information / Principes et fonctionnement du cloud / Neutralité du net : de quoi parle-t-on ? / Les paiements en ligne / Les outils de protection de l’enfance / Les monnaies virtuelles / Les licences libres / Les biens communs : principes et enjeux / Le smartphone : principes de fonctionnement / Le logiciel libre : principes et enjeux / Internet : comprendre une offre internet / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Google Drive et solutions alternatives / Fonctionnement d’une box internet / Comprendre les cultures numériques : usages collaboratifs / Comprendre les cultures numériques : les jeux vidéos  / Big Data / Open Data : comprendre les données	06.42.67.94.19	
84		33000		39.482145	-90.0523783	KASUAL BUSINESS	Big Data / Open Data : comprendre les données	05.56.20.97.85	
85	22, rue Saint-Francoise	33000		44.8438533	-0.5872585	Kasual Business	Big Data / Open Data : comprendre les données	06.20.97.97.30	Bordeaux
86	6 avenue Jean Jaures 	92240		48.821693	2.3031363	Les Fabriqueurs	Découvrir et expérimenter la programmation informatique (code) / Utilisation d'un emplacement de co-working / Utiliser des cartes, capteurs et outils interactifs / Découverte et utilisation d'une découpeuse numérique / Découverte et utilisation imprimante 3D	06.16.61.74.48	
87	16 rue Saint Liesne	77000		48.539684	2.6654574	Assoication PIMMS de Melun	Smartphones et Tablettes sous Androïd / Poste informatique Windows / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : utiliser le coffre-fort en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme Ameli.fr : la sécurité sociale en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Internet : fonctionnement des emails / Le smartphone : principes de fonctionnement / Internet : comprendre les principes de fonctionnement	07.86.50.78.86	
88	au DSU de Rémire Montjoly	97354		4.9193244	-52.2781952	Guyaclic'	Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Gérer ses données : Sauvegarde en ligne (dans le cloud)		Rémire-Montjoly
89	198 cd 41	97419		-20.9268342	55.363741	Agame, le réemploi solidaire		0692950405	la possession
90	Cambridge Kids	06560		43.6148691	7.0548927	Geek School	Découverte et utilisation imprimante 3D / Créer un site web avec WordPress / Tableur : Utilisation de base / Tableur : Découverte / Panorama d’usages créatifs du numérique / Panorama des outils du cloud / Découvrir l’univers des jeux vidéos / Le logiciel libre : principes et enjeux / Internet : comprendre les principes de fonctionnement / Comprendre les cultures numériques : les jeux vidéos  / Images : retoucher ses photos / Découvrir et expérimenter la programmation informatique (code)	06.24.62.36.69	Valbonne
91	Télécentre Bassée Montois	77520	Du Lenvi au Vendredi: de 8:30 à 17:00	48.475607	3.121077	JEHOL sarl - Telecentre Bassée Montois	Utilisation d'un emplacement de co-working / Créer un site web avec WordPress / Internet : fonctionnement des clients webmail / Internet : comprendre un réseau wifi / Internet : comprendre les principes de fonctionnement / Fonctionnement d’une box internet	06.86.34.77.14	Donnemarie Dontilly
92	87 Quai des Queyries	33100	"Ceci est un compte de test
ouvert du lundi au vendredi"	44.8489381	-0.5593874	Médias-Cité	Fablab : charte, valeurs et panorama des outils numériques / Panorama d’usages créatifs du numérique / Gérer ses favoris de navigation / Diffuser son CV en ligne / Comprendre les cultures numériques : usages collaboratifs / Google Drive et solutions alternatives	06.52.96.11.96	Bordeaux
93	38 rue Domnolet Lafarge	87000		45.8157682	1.2708326	CITELS	Organiser sa recherche d'emploi / Découverte et usage de l’emploi Store / Diffuser son CV en ligne / Services et plateformes de démocratie participative / Internet : déposer une annonce sur Le Bon Coin ou autre site de petites annonces / Transférer des fichiers volumineux / Traitement de texte : Utilisation de base / Traitement de texte : Découverte / Tableur : Découverte / Suivre la scolarité de son enfant / Smartphone : Les applications clés / Smartphones et Tablettes sous Androïd / Poste informatique Windows / Organiser, explorer et partager des contenus numériques / Internet : envoyer, recevoir, gérer ses emails / Gérer ses données : Sauvegardes locales (disques durs externes, clé USB) / Créer et paramétrer un compte Google / Pôle Emploi : faire ses déclarations en ligne / Plateforme La Poste : envoyer et recevoir des courriers / Plateforme France Connect / Plateforme Ameli.fr : la sécurité sociale en ligne / Ouvrir et gérer son dossier de retraite (CNAF/CARSAT) en ligne / Gérer son abonnement et ses factures d'électricité/gaz en ligne / Gérer ses droits et allocations (CAF...)  en ligne/sur internet / Gérer ses droits d'assuré social en ligne/sur internet / Découvrir les services en ligne de l'enfance de votre commune / Déclarer ses revenus en ligne et découvertes des services proposés / Accéder à ses droits sociaux et les gérer en ligne (RSA…) / Utiliser les réseaux sociaux pour sa recherche d'emploi / Panorama des plateformes de recherche d’emploi / Internet : fonctionnement et outils de navigation web / Internet : fonctionnement des emails / Découvrir les réseaux sociaux : définition, fonctionnement / Découverte des outils de messagerie instantanée (tchat) / Le smartphone : principes de fonctionnement / Internet : comprendre les principes de fonctionnement / Comprendre les cultures numériques : usages collaboratifs	05.55.31.88.20	
94	23 boulevard Descat	59200	Du lundi au vendredi de 9h à 17h30	50.7017025	3.1592639	level up cluster		06.46.20.78.91	TOURCOING
