sourceur;full_address;Identifiant;Date de dernière modification;Nom;Label;Label Net-Public;Demande de labellisation Net-Public;Site Web;N° et libellé de voie;Code Insee commune;Code postal;Localité;Téléphone;Email;Latitude;Longitude;Précision;Personne à contacter;Services proposés;accompagnement;formation;acces libre;non;ACC NR;Nombre d'animateurs;Numéro DUI;Photo;Statut;Autre label;N° et libellé de voie.1;Horaires d'ouverture;lundi;mardi;mercredi;jeudi;vendredi;samedi;dimanche;JOURS NR;Entrée - Accès [Accessibilité];Équipement;Entrée - Ouverture de porte [Accessibilité];Entrée - Obstacle à la porte d'entrée [Accessibilité];Circulation - Circulation dans les allées [Accessibilité];Circulation - Accès en fauteuil dans tout le lieu [Accessibilité];Circulation - Ascenseurs (dimensions) [Accessibilité];Services et équipements - Sanitaires [Accessibilité];Services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Personnel initié à la langue des signes [Accessibilité];Extérieur - Place de parking réservée [Accessibilité];Extérieur - Places GIC/GIR à proximité [Accessibilité];Extérieur - Transports accessibles à proximité [Accessibilité];Tarif;Photo.1;Photo.2;Photo.3;N° et libellé de voie.2;Code Insee commune.1;Code postal.1;Localité.1;N° et libellé de voie.3;Circulation - Signalétique adaptée [Accessibilité];Services et équipements - Hauteur adaptée des comptoirs / guichets [Accessibilité];services et équipements - Personnel formé à l'accueil des personnes en situation de handicap [Accessibilité];Services et équipements - Place réservée au PMR [Accessibilité];Extérieur - Enseigne suffisamment lisible et visible [Accessibilité];Spécificité territoriale;Circulation - Ascenseurs (adaptations) [Accessibilité];Photo.4;Photo.5;Photo.6;Photo.7;Photo.8;Flux d'actualité;Courriel;Horaires initiations et ateliers;Entrée - Accès contrôlé [Accessibilité];Circulation - Escaliers [Accessibilité];Services et équipements - Visites adaptées aux personnes ayant une déficience [Accessibilité];Entrée - Largeur de porte en cm [Accessibilité];Circulation - Guidage [Accessibilité];Blog;Extérieur - Trottoirs (Obstacles) [Accessibilité];Entrée - En cas de présence d'une marche, préciser sa hauteur en cm [Accessibilité];Rue, Voie, Chemin;Rue, Voie, Chemin.1;Fédération Nationale de Sport Numérique;Ateliers;Espace Public Numérique (EPN des Yvelines);Commentaire;Intitulé;Autre Site Web;Texte long;N° et libellé de voie.4;N° et libellé de voie.5;Code Insee commune.2;Code postal.2;Localité.2;Site Web2;Vidéo;Circulation - Plan du lieu [Accessibilité];NETPUBLIC;Site Web de Formation ORDIDACTIC60;Vidéo.1;Visio-accueil Pôle-Emploi;Le blog de la médiathèque;Fax;Ce flux présente les actualités locales de l'Espace Informatique Cyber-base®;Ce flux affiche les programmes des ateliers qui sont planifiés à l'Espace Informatique Cyber-base®;Services proposés.1;Villes Internet;Accueil de jeunes;Accueil de seniors;Organisation d'évènements;Centre d'Animation des Portes Ferrées;Personne à contacter.1;Image;N° et libellé de voie.6;Mission;latitude;longitude;result_label;result_score;result_type;result_id;result_housenumber;result_name;result_street;result_postcode;result_city;result_context;result_citycode
Gironde;9 Allée des Peupliers 33000 Bordeaux;63T;;Maison de quartier Jeunes Saint Augustin;PAPI;EducPop;;;9 Allée des Peupliers;63;33000;Bordeaux;05 56 98 45 05;;;;;;;0;0;0;0;NR;;;;;;;lundi : 14h-18h mardi/vendredi : 8h30-12/14h-18h  jeudi  : 8h30-12h/14h-19h;1;2;0;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.831772;-0.610823;9 Allée des Peupliers 33000 Bordeaux;0.94;housenumber;ADRNIVX_0000000276278853;9;Allée des Peupliers;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;44 Place de l'Europe 33300 Bordeaux;63Q;;Centre social du Grand parc;PAPI;EducPop;;;44 Place de l'Europe;63;33300;Bordeaux;05 56 50 38 22;"csgrandparc.direction@wanadoo.fr ";;;;;;0;0;0;0;NR;;;;;;;mardi/jeudi/vendredi : 14h-18h mercredi : 10h-12h/14h-18h30 samedi : 10h-13h (+ initiation aux tic le vendredi 10h-12h sur inscription);0;2;3;4;5;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.859533;-0.580078;Place de l'Europe 33300 Bordeaux;0.86;street;33063_XXXX_bbae47;;Place de l'Europe;;33300;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;12 rue de Cursol 33000 Bordeaux;63H;;UNADEV Cyberbraille;EPN;EducPop;;;12 rue de Cursol;63;33000;Bordeaux;05 56 33 85 85;b.fagour@unadev.com;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.834915;-0.576114;12 Rue de Cursol 33000 Bordeaux;0.94;housenumber;ADRNIVX_0000000276272201;12;Rue de Cursol;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;125 Cours Alsace Lorraine 33000 Bordeaux;63B;;CIJA - Centre Information Jeunesse Aquitaine;EPN;Jeunesse;;www.info-jeune.com;125 Cours Alsace Lorraine;63;33000;Bordeaux;05 56 56 00 41;cija@cija.net;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.837423;-0.575867;125 Cours d'Alsace et Lorraine 33000 Bordeaux;0.84;housenumber;ADRNIVX_0000000276267392;125;Cours d'Alsace et Lorraine;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;Rue François Coppée 33200 Bordeaux;63P;;Centre d'Animation Monséjour;PAPI;EducPop;;;Rue François Coppée;63;33200;Bordeaux;05 56 97 58 10;;;;;;;0;0;0;0;NR;;;;;;;merc : 15 à 18h, jeudi : 17 à 19h, sam : 10 à 12h;0;0;0;4;0;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.854039;-0.628902;Rue François Coppée 33200 Bordeaux;0.94;street;33063_3660_c1424c;;Rue François Coppée;;33200;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;33 rue de Brach 33000 Bordeaux;63L;;Atelier du Pôle – Brach Rive gauche;EPN;EducPop;;www.bordeaux.fr;33 rue de Brach;63;33000;Bordeaux;05 56 79 73 44;"polesenior@mairie-bordeaux.fr ";;;;;;0;0;0;0;NR;;;;;;;Mardi/Jeudi : 14h-18h30  Mercredi : 9h-12h30/14h-18h30 Samedi : 9h-12h;0;2;3;4;0;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.839003;-0.59455;33 Rue de Brach 33000 Bordeaux;0.95;housenumber;ADRNIVX_0000000276256390;33;Rue de Brach;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;Rue Jean Descas 33000 Bordeaux;63J;;FJT Jacques Ellul;EPN;EducPop;;pagesperso-orange.fr/fpt-ellul/;Rue Jean Descas;63;33000;Bordeaux;05 56 48 70 30;fpt-ellul.anim@wanadoo.fr;;;;;;0;0;0;0;NR;;;;;;;Mardi : 16h30-18h30, merc : 14-18h30, jeudi : 17 à 18h, samedi : 10 à 12h30;0;2;0;4;0;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.829797;-0.558229;Rue Jean Descas 33800 Bordeaux;0.82;street;33063_4600_2c1a85;;Rue Jean Descas;;33800;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;4 Rue du Mulet 33000 Bordeaux;63C;;Centre Social et Culturel Saint Pierre;EPN;EducPop;;www.ecm-bordeaux.com;4 Rue du Mulet;63;33000;Bordeaux;05 56 48 16 39;castpierre@cebtres-animation.asso.fr;;;;;;0;0;0;0;NR;;;;;;;mardi, jeudi, vend : 15h30-18, merc : 15-18, samedi 9h30-12;0;2;0;4;0;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.839594;-0.572862;4 Rue du Mulet 33000 Bordeaux;0.93;housenumber;ADRNIVX_0000000276261738;4;Rue du Mulet;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;3 Rue du Professeur Princeteau 33800 Bordeaux;63R;;Centre Social et Culturel Bordeaux Sud;PAPI;EducPop;;;3 Rue du Professeur Princeteau;63;33800;Bordeaux;05 56 85 76 96;csc.bordeauxsud@centres-animation.asso.fr;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.815027;-0.563485;3 Rue du Professeur Daguin 33800 Bordeaux;0.65;housenumber;ADRNIVX_0000000276328289;3;Rue du Professeur Daguin;;33800;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;392 Cours Pasteur 33200 Bordeaux;63F;;MJC cl2v;EPN;EducPop;;;392 Cours Pasteur;63;33200;Bordeaux;05 56 97 40 00;mjc.cl2v@wanadoo.fr;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.846525;-0.629846;392 Rue Pasteur 33200 Bordeaux;0.69;housenumber;ADRNIVX_0000002009367536;392;Rue Pasteur;;33200;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;17 rue Causserouge 33000 Bordeaux;63I;;Atelier informatique municipal;EPN;Informatique;;;17 rue Causserouge;63;33000;Bordeaux;05 57 59 09 90;atelier.informatique@mairie-bordeaux.fr;;;;Daniel Pénicaut;;0;0;0;0;NR;;;;;;;Mardi/vendredi : 9h-12h Mercredi : 13h-16h30;0;2;3;0;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.83319;-0.570613;17 Rue de Causserouge 33000 Bordeaux;0.86;housenumber;ADRNIVX_0000000276276282;17;Rue de Causserouge;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;58 rue Joséphine 33300 Bordeaux;63D;;Centre social Bordeaux Nord;EPN;EducPop;;;58 rue Joséphine;63;33300;Bordeaux;05 56 39 46 72;"contact@csbn.org ";;;;;;0;0;0;0;NR;;;;;;;Lundi au jeudi : 14h-19h Samedi : 9h-12h;1;2;3;4;0;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.860196;-0.562155;58 Rue Joséphine 33300 Bordeaux;0.94;housenumber;ADRNIVX_0000000276200444;58;Rue Joséphine;;33300;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;13 Allée Jean Giono 33100 Bordeaux;63M;;Atelier du Pôle – Giono Rive droite;EPN;EducPop;;www.bordeaux.fr;13 Allée Jean Giono;63;33100;Bordeaux;05 56 86 89 41;"polesenior@mairie-bordeaux.fr ";;;;;;0;0;0;0;NR;;;;;;;Mardi/vendredi : 16h-19h mercredi : 14h-19h Samedi 14-18h;0;2;3;0;5;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.845564;-0.563015;13 Allée Jean Giono 33100 Bordeaux;0.93;housenumber;ADRNIVX_0000000311849474;13;Allée Jean Giono;;33100;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;81 Rue Bourbon 33300 Bordeaux;63E;;Amicale Laïque Dupaty;EPN;EducPop;;;81 Rue Bourbon;63;33300;Bordeaux;05 56 39 14 48;alsecr@cegetel.net;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.862082;-0.558618;81 Rue Bourbon 33300 Bordeaux;0.94;housenumber;ADRNIVX_0000002101281904;81;Rue Bourbon;;33300;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;2 Impasse Sainte Elisabeth 33000 Bordeaux;63S;;Maison de quartier Chantecler;INI;EducPop;;www.maisondequartierchantecler.co;2 Impasse Sainte Elisabeth;63;33000;Bordeaux;05 57 87 02 57;maisondequartier.chantecler@wanadoo.fr;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.85394;-0.576799;2 Impasse Sainte-Élisabeth 33000 Bordeaux;0.93;housenumber;ADRNIVX_0000000276213960;2;Impasse Sainte-Élisabeth;;33000;Bordeaux;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33063
Gironde;Parc municipal de Vialle 33270 BOULIAC;4f3401aade77fe55ff000636;14/02/2012;Médiathèque;;0;0;http://arpel.aquitaine.fr/spip.php?article10482;Parc municipal de Vialle;33065;33270;BOULIAC;+33 5 56 20 94 04;bibliothequemairiebouliac@wanadoo.fr;44.815746;-0.503245;4;Anne-Marie Kleine;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10098;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.816951;-0.504399;Parc de Vialle 33270 Bouliac;0.66;street;33065_XXXX_824456;;Parc de Vialle;;33270;Bouliac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33065
Gironde;8 au Mas 33710 BOURG;4f3401b1de77fe55ff0006d1;10/10/2012;Espace Cyber-base de Bourg en Gironde à la Maison des Services au Public;Cyber-base;1;0;http://www.bourg-en-gironde.fr/;8 au Mas;33067;33710;BOURG;+33 5 57 94 06 88;cyber@bourg-en-gironde.fr;45.0430606131;-0.5594364855;9;Laurent ROBIN/Thierry DUPUY;"Accompagnement individuel
Initiation Internet et multimédia
Perfectionnement, accompagnement de projets
Accompagnement scolaire, activités éducatives
Recherche d'emploi sur Internet
Démarches administratives
Vie quotidienne (achats, loisirs, …)
Outils et usages mobiles (smartphones, tablettes, applications)
Accueil de handicapés
Accueil de jeunes
Accueil de seniors
Accompagnement d'associations
Accompagnement de PME/TPE";1;27;0;0;;2;10272;;;;;"lundi de 15:00 à 18:00
mardi de 10:00 à 12:00
  de 15:00 à 18:00
mercredi de 10:00 à 12:00
  de 15:00 à 18:00
jeudi de 10:00 à 12:00
  de 15:00 à 18:00
vendredi de 10:00 à 12:00
  de 15:00 à 18:00

samedi de 10:00 à 13:00";1;2;3;4;5;6;0;;Plain-pied;"- 6 ordinateurs MAC OS X & Windows XP
- 1 ordinateur Windows VISTA, Windows 7 & UBUNTU
- Imprimante laser couleur/Scanner";Manuelle;;Aisée;Total;;Aménagés;;0;1;;;Gratuit;;;;;;;;;1;;;0;1;;;;;;;;;;;;;;;Visuel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.043295;-0.55973;8 Au Mas 33710 Bourg;0.92;housenumber;ADRNIVX_0000000326986226;8;Au Mas;;33710;Bourg;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33067
Gironde;" 33710 Bourg";67A;;Maison des services au public;PAPI;Services publics;;http://www.bourg-en-gironde.fr/Main.aspx?numStructure=39924&numRubrique=33485;;67;33710;Bourg;05 57 94 06 80;;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.039336;-0.558298;Bourg;0.94;municipality;33067;;Bourg;;33710;Bourg;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33067
Gironde;Bourg 33113 Bourideys;68A;;Mairie;PAPI;Services publics;;;Bourg;68;33113;Bourideys;05 56 25 71 57;mairie.bourideys@orange.fr;;;;;;0;0;0;0;NR;;;;;;;mercredi : 14h30-18h  jeudi/vendredi : 14h-17h30;0;0;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.367694;-0.453785;Le Bourg-Sud 33113 Bourideys;0.67;locality;33068_XXXX_ad05fe;;Le Bourg-Sud;;33113;Bourideys;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33068
Gironde;" 33480 Brach";70A;;Bibliothèque municipale;PAPI;Bibliothèque;;;;70;33480;Brach;;;;;;;;0;0;0;0;NR;;;;;;;Lundi 14h-18h Mardi, mercredi, jeudi 9h-12h30 / 13h30-18h Vendredi 9h-12h30 /13h30-16h;1;2;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.040951;-0.938552;Brach;0.92;municipality;33070;;Brach;;33480;Brach;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33070
Gironde;36, avenue de la République 33820 Braud-et-Saint-Louis;73A;;Foyer d'Animation rural;PAPI;EducPop;;http://www.mairie-braud.com;36, avenue de la République;73;33820;Braud-et-Saint-Louis;05 57 42 61 00 (mairie);;;;;;;0;0;0;0;NR;;;;;;;Mercredi Vendredi et samedi : 14h-19h;0;0;3;0;5;6;0;;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;45.24742;-0.625966;36 Avenue de la République 33820 Braud-et-Saint-Louis;0.91;housenumber;ADRNIVX_0000000275925223;36;Avenue de la République;;33820;Braud-et-Saint-Louis;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33073
Gironde;68 avenue de Verdun 33520 BRUGES;4f340230de77fe55ff00119f;14/02/2012;MJC de Bruges;;0;0;;68 avenue de Verdun;33075;33520;BRUGES;+33 5 56 28 24 32;mjcbruges@wanadoo.fr;44.885223;-0.62074;8;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;7913;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.884372;-0.618805;68 Avenue de Verdun 33520 Bruges;0.92;housenumber;ADRNIVX_0000000276150048;68;Avenue de Verdun;;33520;Bruges;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33075
Gironde;10, av des Martyrs de la résistance 33520 BRUGES;4f3401f4de77fe55ff000ca0;14/02/2012;B.I.J. de Bruges;;0;0;;10, av des Martyrs de la résistance;33075;33520;BRUGES;+33 5 56 16 17 96;e-bij@mairie-bruges.fr;44.880963;-0.612314;8;Loic DUTOUR;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;5823;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.880935;-0.61235;10 Avenue des Martyrs de la Résistance 33520 Bruges;0.81;housenumber;ADRNIVX_0000002101281217;10;Avenue des Martyrs de la Résistance;;33520;Bruges;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33075
Gironde;21 Avenue Jean Jaurès 33520 Bruges;75C;;Mairie annexe;PAPI;Services publics;;;21 Avenue Jean Jaurès;75;33520;Bruges;05 56 16 64 90;floquiet@mairie-bruges.fr;;;;;;0;0;0;0;NR;;;;;;;Mardi/jeudi :16h-18h mercredi :10h30-12h30/15h-19h Vendredi : 16h-19h samedi :10h30-12h30/15h-18h;0;2;3;4;5;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.882779;-0.593357;21 Avenue Jean Jaurès 33520 Bruges;0.92;housenumber;ADRNIVX_0000000276155989;21;Avenue Jean Jaurès;;33520;Bruges;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33075
Gironde;rue Jules Ladoumegue 33520 Bruges;75B;;MJC;PAPI;EducPop;;"www.mjcbruges.com ";rue Jules Ladoumegue;75;33520;Bruges;05 56 28 24 32;mjcbruges@wanadoo.fr;;;;;;0;0;0;0;NR;;;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;Payant;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.883486;-0.620748;Rue Jules Ladoumegue 33520 Bruges;0.91;street;33075_XXXX_63f0ff;;Rue Jules Ladoumegue;;33520;Bruges;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33075
Gironde;27 rue du moulin noir 33140 CADAUJAC;4f3401a9de77fe55ff00061f;14/02/2012;PIJ;;0;0;;27 rue du moulin noir;33080;33140;CADAUJAC;+33 5 57 83 82 00;pij.cadaujac@wanadoo.fr;44.755777;-0.530338;8;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10074;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.75582;-0.530334;27 Rue du Moulin Noir 33140 Cadaujac;0.91;housenumber;ADRNIVX_0000000276434557;27;Rue du Moulin Noir;;33140;Cadaujac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33080
Gironde;14/16, route de Branne 33410 CADILLAC;4f340230de77fe55ff00119b;14/02/2012;Mission locale des deux rives;Point Cyb;1;0;http://www.luzine.com/;14/16, route de Branne;33081;33410;CADILLAC;+33 5 57 98 02 98;contact@ml2r.com;44.636123;-0.318522;8;Alex MASCI;;0;0;0;0;NR;;7908;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.636237;-0.318261;16 Route de Branne 33410 Cadillac;0.85;housenumber;ADRNIVX_0000000276542151;16;Route de Branne;;33410;Cadillac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33081
Gironde;Mairie 33360 CAMBLANES ET MEYNAC;4f340237de77fe55ff001237;14/02/2012;Bibliothèque municipale;;0;0;;Mairie;33085;33360;CAMBLANES ET MEYNAC;+33 5 57 97 16 90;alivreouvert@club-internet.fr;44.765431;-0.480123;4;;;0;0;0;0;NR;;7907;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.773836;-0.492776;Metairie 33360 Camblanes-et-Meynac;0.8;locality;33085_XXXX_a815d0;;Metairie;;33360;Camblanes-et-Meynac;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33085
Gironde;La House 33610 CANEJAN;4f340230de77fe55ff001199;14/02/2012;Médiathèque de Canéjan;;0;0;;La House;33090;33610;CANEJAN;+33 5 56 89 38 07;mediatheque@canejan.fr;44.753419;-0.644891;6;;;0;0;0;0;NR;;7906;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.750772;-0.641781;Chemin de la House 33610 Canéjan;0.62;street;33090_XXXX_25058f;;Chemin de la House;;33610;Canéjan;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33090
Gironde;Chemin des Peyrères Mairie 33610 CANEJAN;4f3401aede77fe55ff000683;14/02/2012;Le spot;;0;0;;Chemin des Peyrères Mairie;33090;33610;CANEJAN;+33 5 56 75 06 32;;44.757274;-0.652671;4;;"Accompagnement individuel
Initiation Internet et multimédia";1;27;0;0;;1;10185;;;;;;0;0;0;0;0;0;0;NR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.762561;-0.650137;Chemin des Peyrères 33610 Canéjan;0.75;street;33090_XXXX_263f2c;;Chemin des Peyrères;;33610;Canéjan;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33090
Gironde;Bourg 33610 Canéjan;90B;;Espace mosaïque;EPN;Services publics;;www.canejan.fr/acces-internet.asp;Bourg;90;33610;Canéjan;05 56 89 96 76;;;;;;;0;0;0;0;NR;;;;;;;Mardi 15h-18h30 Mercredi 9h30-12h & 14h-17h30 Vendredi 9h30-12h & 15h-17h30 Samedi 9h30-12h;0;2;3;0;5;6;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.762175;-0.655871;Canéjan;0.62;municipality;33090;;Canéjan;;33610;Canéjan;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33090
Gironde;Chemin de la House 33610 Canéjan;90C;;PIJ;PAPI;Jeunesse;;www.canejan.fr;Chemin de la House;90;33610;Canéjan;05 56 75 06 32;spot@canejan.fr;;;;Sandrine Villetorte;;0;0;0;0;NR;;;;;;;Lundi, mardi, jeudi, vendredi : 12h-14h /17h-19h Mercredi 16h30-19h (périodes scolaires);1;2;3;4;5;0;0;;;;;;;;;;;;;;;Gratuit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.750772;-0.641781;Chemin de la House 33610 Canéjan;0.91;street;33090_XXXX_25058f;;Chemin de la House;;33610;Canéjan;33, Gironde, Nouvelle-Aquitaine (Aquitaine);33090
