Nom;Présentation;Photo;Horaires d'ouverture;Services itinérants;Adresse;Complément d'adresse;Code Postal;Ville;Email de contact;Site internet;Téléphone;Parking à proximité;Accès transports en commun;Plan d'accès;Accessibilité;Lien Facebook;Lien Twitter;Lien Google+;Date de création de la fiche;Date de la dernière modification de la fiche;Pôle emploi;CPAM;CNAV;GRDF;La Poste;MSA;CAF;Agence départementale d'information sur le logement (ADIL);Agence locale de l’énergie (ALE);Banque de France;Cap Emploi;Centre communal d'action sociale (CCAS);Centre intercommunal d’action sociale (CIAS);Centre local d'information et de coordination (CLIC);Centre social;Chambre d'agriculture;Chambre de commerce et d'industrie (CCI);Chambre de métiers et de l'artisanat (CMA);Conseil départemental;Conseil départemental de l’accès au droit (CDAD);Croix-Rouge;Défenseur des droits;EDF;Fédération nationale des accidentés du travail et des handicapés (FNATH);Greta (formation continue pour les adultes);Maison de l'emploi;Maison départementale des personnes handicapées (MDPH);Médecine du travail;Mission locale;Plan local pour l'insertion et l’emploi (PLIE);Point d'accès au droit;Point d'appui à la vie associative;Point Info Famille;Point Info Jeunesse;Point Protection Maternelle Infantile;Préfecture;Protection, Amélioration, Conservation, Transformation de l'habitat (PACT);Régime social des indépendants (RSI);Réseau d'Ecoute, d'Appui et d'Accompagnement des Parents (REAAP);Trésor Public;Union de Recouvrement des Cotisations de Sécurité Sociale et d'Allocations Familiales (URSSAF);Union départementale des associations familiales (UDAF);Autre;Autres partenaires et services;Planning des permanences;Equipements à disposition;Autres équipements;Dans les mêmes locaux;Autres services dans les locaux;Année d'ouverture de la maison;Année de labellisation de la maison;Structure porteuse de la Maison de services au public;Appartenance à un réseau territorial;Connexion avec d'autres Maisons de services au public;Autres labels;Informations complémentaires
Moulins-la-Marche ( Bureau de Poste );Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi :FERME Mardi :9H30-17H Mercredi :9H30-17H Jeudi :9H30-17H Vendredi :9H30-17H Samedi :9H30-12H;Non;13 place de la Mairie;;61380;Moulins-la-Marche;msap.moulins-la-marche@laposte.fr;;;Non;;Non;;;;;03/10/2016;10/04/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;18/11/2016;18/11/2016;La Poste;;;;
Moustiers-Sainte-Marie ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 09h45 -12h00 et 13h45 - 16h30 Mardi : 09h45 - 12h00 et 13h45 - 15h30 Mercredi : 09h45 -12h00 et 13h45 - 16h30 Jeudi : 09h45 -12h00 et 13h45 - 16h30 Vendredi : 09h45 -12h00 et 13h45 - 16h30;Non;Centre administratif - rue du Seigneur de la Clue;;04360;Moustiers-Sainte-Marie;msap.moustiers-sainte-marie@laposte.fr;;;Non;;Non;;;;;04/10/2016;07/06/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;01/06/2016;01/06/2016;La Poste;;;;
Mouthe ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi 9h30-12h00 14h00-17h00 Mardi 9h30--12h00 14h00-17h00 mercredi 9h30-12h00 Jeudi 9h30-12h00 14h00-17h00 Vendredi 9h30-12h00 14h00-17h00 Samedi 9h30-12h00;Non;1 Grande Rue;;25240;Mouthe;msap.mouthe@laposte.fr;;;Oui;;Non;Handicap auditif, Handicap moteur;;;;21/11/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;27/02/2017;27/02/2017;La Poste;;;;
Moûtiers;Notre maison de services au public se situe au 70 rue du Pain de Mai dans des locaux accueillants et accessible à tous. Nous sommes ouverts tous les jours de 9h00 à 12h00 et de 14h00 à 17h00 (sauf le lundi et le mercredi matin). Vous pouvez nous contacter par téléphone au 04 79 00 08 35 ou par courriel à l'adresse suivante maisondesservices@moutiers.org;Oui;Lundi : 14h - 17h Mardi : 9h - 12h / 14h - 17h Mercredi : 14h - 17h Jeudi : 9h - 12h / 14h - 17h Vendredi : 9h - 12h / 14h - 17h;Non;70 rue du Pain de Mai;;73600;Moutiers;maisondesservices@moutiers.org;;0479000835;Oui;;Non;Handicap auditif, Handicap mental, Handicap moteur, Handicap visuel;https://www.facebook.com/maisondesservicesmoutiers/;;;16/11/2016;11/04/2018;Oui;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Mobil' emploi, AACM, CIBC, Ecomobilité, ADDCAES, FONGECIF;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;Maison des associations;Ludothèque;17/10/2016;17/10/2016;Communauté de Communes Coeur de Tarentaise;;;;
Moutiers-les-Mauxfaits (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi :9h - 12h Mardi :9h - 12h Mercredi :9h - 12h Jeudi :9h - 12h Vendredi :9h - 12h Samedi :9h - 12h;Non;29 avenue Georges Clémenceau;;85540;Moutiers-les-Mauxfaits;msap.moutiers-les-mauxfaits@laposte.fr;;;Oui;;Non;;;;;13/07/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;13/07/2016;13/07/2016;La Poste;;;;
Moÿ-de-l'Aisne ( Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;Lundi : 9h00 - 12h00 - de 14h00 -16h15 Mardi : 9h00 - 12h00 - de 14h00 -16h15 Mercredi : 9h00 - 12h00 - de 14h00 -16h15 Jeudi : 09h00 - 12h00 Vendredi : 9h00 - 12h00 - de 14h00 -16h15 Samedi : 09h00 - 12h00  ;Non;12 rue Bernard Testart;;02610;Moÿ-de-l'Aisne;msap.moy-de-l-aisne@laposte.fr;;0323077971;Oui;;Non;Handicap auditif, Handicap moteur;;;;21/11/2016;03/04/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste;;01/12/2016;01/12/2016;La Poste;;;;
Moyaux (Bureau de Poste);Le bureau de poste réunit les services sous un même toit avec une Maison de services au public et devient un véritable lieu d’accueil, d’information, et d’orientation. Le bureau dispose d’un îlot de services au public avec un accès à des services numériques. Les habitants peuvent être accompagnés dans leurs démarches de la vie quotidienne, en lien avec les opérateurs de services publics « essentiels ».;Oui;lundi 9 h 12 h 14 h 15 16 h 30 mardi 9 h 12 h 14 h 15 16 h 30 mercredi 9 h 12 h 14 h 15 16 h 30 jeudi 9 h 12 h 14 h 15 16 h 30 vendredi 9 h 12 h 14 h 15 16 h 30 samedi 9 h 12 h;Non;Route de Cormeilles;;14590;Moyaux;msap.moyaux@laposte.fr;;;Oui;;Non;Handicap auditif;;;;03/10/2016;22/01/2018;Oui;Oui;Oui;Oui;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Visio conférence|Wifi;;Bureau de Poste|Office de tourisme;;30/06/2016;17/12/2016;La Poste;;;;
MSAP / La Cerise Numérique de Bédoin;La MSAP / La Cerise Numérique est un laboratoire numérique citoyen d’innovation, de création et de transmission, crée en 2017 et portée par une association, la MJC de Bédoin. Nous vous offrons un bouquet de services numériques adaptés à vos besoins.;Oui;Du lundi au vendredi de 8h30 à 12h30. Le mardi de 15h à 19h (sur RDV).;Non;79, chemin Vallat de Pommet;;84410;Bédoin;numerique@mjcbedoin.org;Site internet;0490417278;Oui;;Non;Handicap moteur;https://www.facebook.com/MSAPBedoin;;;14/12/2017;10/04/2018;Oui;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;Espace Public Numérique;;01/11/2017;01/11/2017;MJC de Bédoin;;;;
MSAP Bougainville;;Non;Lundi de 9h à 12h et 13h30 à 16h30 Mardi de 9h à 12h et 13h30 à 16h30 Mercredi de 9h à 12h et de 13h30 à 16h30 Jeudi de 9h à 12h et de 13h30 à 16h30  ;Non;9 rue Cougit;;13015;Marseille;responsablemsap@laligue13.fr;Site internet;04 91 11 42 60;Oui;Proche du métro Bougainville Bus : 70;Non;Handicap visuel;;;;06/06/2017;25/06/2018;Oui;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;Phenix Formation (écrivain public), Association d'Aide à l'Insertion (A.A.I), Association des Compagnons Bâtisseurs, Droits Des Étrangers (Point d'Appui), D.A.I.E, Accès Conseil, Euromediterranee;Oui;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone;;;;04/01/1999;01/05/2017;Fédération des Amis de l'instruction Laïque 13;FAIL;;;
MSAP Catus;Accueil et information Point multimédia pour vous simplifiez vos démarches administratives il est Installé dans un lieu public (cyber-base). salle d'exposition informations touristiques;Non;Accueil libre Mardi 9h à 12h30 & de 14h à 18h Mercredi de 9h à 12h Vendredi 9h à 12h & de 14h à 17h30 Samedi 9h à 12h30 Accueil sur rendez-vous Mercredi 14h à 17h30 & Jeudi 9h à 12h30  ;Non;place de la halle;maison des services au public - cyber base - office de tourisme - espace d'exposition;46150;Catus;msap-catus@grandcahors.fr;Site internet;standard 05.65.20.86.40 - cyber base 05.65.20.86.46;Oui;;Non;Handicap moteur;;;;24/02/2016;10/03/2018;Oui;Oui;Oui;Oui;Non;Oui;Oui;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Oui;Non;Non;Non;Oui;Non;Non;Oui;tourisme - vie locale - culture;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;espace d'exposition - accueil de permanences et/ou réunion et/ou conférences;Centre intercommunal d'action sociale (CIAS)|Centre social|Communauté de communes|Espace Public Numérique|Office de tourisme|Relai Assistantes Maternelles (RAM);;26/06/2017;26/06/2017;Communauté d'Agglomération du Grand Cahors;;;;
MSAP CCPVG;;Non;Lundis, mardis, jeudis de 8h30 à 12h00 et de 13h30 à 17h00 Vendredis de8h30 à 12h;Non;Maison Gradet Poque Mairie de Luz-Saint-Sauveur;;65120;Luz-Saint-Sauveur;j.darre@ccpvg.fr;;0562922550;Oui;;Non;Handicap moteur;;;;08/11/2016;25/04/2017;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Oui;CARSAT;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Wifi;;;;;28/07/2016;Communauté de communes du Pays Toy;;;;
MSAP de Kerhall;Créée en 2000, la Maison des services située à Cléder accueille particuliers, entreprises, employeurs et associations afin de les informer et de les accompagner dans leurs démarches administratives. Des partenaires, de secteurs divers mais complémentaires, assurent des permanences quotidiennes, hebdomadaires ou mensuelles pour rencontrer et conseiller sur place les habitants de la Communauté de communes. La Maison des services propose un accueil et un accompagnement personnalisés du public. Des outils informatiques (ordinateurs avec accès à Internet) sont mis à la disposition des personnes afin de faciliter les démarches et l'accès à l'information.;Non;Lundi: de 8h30 à 12h00 et de 13h30 à 17h00 Mardi:de 8h30 à 12h00 et de 13h30 à 17h00 Mercredi:de 8h30 à 12h00 et de 13h30 à 17h00 Jeudi:de 8h30 à 12h00 et de 13h30 à 17h00 Vendredi:de 8h30 à 12h00 et de 13 h 30 à 17 h 00;Non;Zone d’activité de Kerhall;;29233;Cléder;msap.kerhall@hlc.bzh;;02.98.69.44.54;Oui;;Non;Handicap moteur;;;;09/06/2017;26/03/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Service Social Maritime,Association Recherche Travail,Relais Petite enfance;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Wifi;;Communauté de communes;;03/01/2000;15/05/2017;HAUT LEON COMMUNAUTE;;MSAP des Carmes;;
MSAP de la Communauté de communes Triangle Vert;Notre maison de services au public est un guichet unique de proximité répondant a toutes les demandes de démarches administratives, personnelles, professionnelles... Elle permet un accueil gratuit et anonyme pour tout public.;Oui;Lundi : 9h-12h et 14h-17h Mardi : 8h30-12h et 14h-18h30 Mercredi : 16h30-18h30 Jeudi : 8h30-12h et de 14h-18h30 Vendredi : 9h-12h et 14h-18h30 Samedi : 8h30-12h;Non;1 bis rue de l'Eglise;;70200;Quers;david.yoder@cctv70.fr;Site internet;0637644731;Oui;;Non;Handicap moteur;;;;24/02/2016;12/05/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;ARESPA : Association Réseau de Santé Proximité Appui CIJ : Centre Information Jeunesse Conciliateurs de justice Relais Parents Assistantes Maternelles ( Brin d'Eveil);Oui;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence|Wifi;;Espace Public Numérique;;15/12/2016;01/06/2015;Communauté de Communes du Triangle Vert;;;;
MSAP de la Région d'Orgelet;;Oui;Lundi 10h00/12h00 et 14h00/17h00 Mardi 9h00/12h00 et 14h00/17h00 Mercredi 9h00/12h00 et 14h00/17h00 Jeudi 9h00/12h00 et 14h00/17h00 Vendredi 9h00/12h00;Non;4 chemin du quart;BP 35;39270;Orgelet;maison.services@ccorgelet.com;Site internet;03 84 25 41 13;Oui;;Non;Handicap moteur;;;;24/02/2016;20/03/2018;Oui;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Service social Conseil Départemental;Non;Accès Internet|Fax|Imprimante|Photocopieuse;;Communauté de communes;Relais Assistantes Maternelles;;14/03/2016;Communauté de Communes de la Région d'Orgelet;;;;labellisation en cours  
msap de vezouze en piemont site de badonviller;la MSAP est un lieu d'accueil unique pour obtenir en toute confidentialité des informations et effectuer certaines démarches administratives liées aux organismes partenaires : la caisses d'allocations familiales, pôle emploi, mission locale, l'association entr aide chômeurs, le centre d'information des droits des femmes et des familles et la caisse primaire d'assurance maladie. Il est possible :d'être assisté dans la compréhension de courriers administratifs, d'obtenir un formulaire et de se faire aider pour la constitution d'un dossier , d'effectuer des démarches en ligne et suivre son dossier sur internet, d'être accompagné dans des démarches de recherche d'emploi.....;Oui;lundi 8h30-12h -13h30-16h30 mardi 8h30-12h-13h30-16h30 jeudi 8h30-12h - 13h30 -16h30 vendredi  8h30-12h et 13h30-16h30;Non;1 avenue colonel de la horie;;54540;Badonviller;msapbadonviller@ccvp.fr;;03.83.72.63.09;Oui;;Non;Handicap auditif, Handicap moteur, Handicap visuel;;;;24/02/2016;22/09/2017;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;entraide chomeur cidff;Non;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Wifi;;Communauté de communes;syndicat mixte d'aménagement des lacs de Pierre percée permanece Mission locale *- adile -cidff- entraide chomeur cajt;;;communaute de communes du piemont vosgien vosgien;;;;
MSAP des Carmes;Labellisée en 2017, la Maison de Services au Public située à Saint-Pol de Léon accueille particuliers, entreprises, employeurs et associations pour les informer et les accompagner dans leurs démarches administratives. Une quarantaine de partenaires, de secteurs divers mais complémentaires, assurent des permanences quotidiennes, hebdomadaires ou mensuelles pour rencontrer et conseiller sur place les habitants de la Communauté de Communes. La MSAP met également à la disposition du public des outils d’informations et de communication qui facilitent les démarches et favorisent l’accès à l’information. Une équipe d’accueil de la Communauté de Communes se tient en permanence à la disposition du public, facilitant l’accès aux différents services proposés;Oui;Lundi: 8h30-12h00 et de 13h30 à 17h00 Mardi:8h30-12h00 et de 13h30 à 17h00 Mercredi:8h30-12h00 et de 13h30 à 17h00 Jeudi:8h30-12h00 et de 13h30 à 17h00 Vendredi:8h30-12h00 et de 13h30 à 17h00;Non;29, rue des Carmes;BP 116;29250;Saint-Pol-de-Léon;msap.carmes@hlc.bzh;;02.98.69.10.44;Oui;Le Haut Léon Communauté est situé sur la côte Nord du Finistère à environ 20 km au Nord-Ouest de Morlaix, 60 km de Brest et 200 km de Rennes. Liaison routière Rennes / Saint-Pol de Léon : voie express N 12 (200 km) Liaison ferroviaire - Gare SNCF à Saint-Pol et Roscoff - Gare TGV à Morlaix (Paris/Morlaix : 3h50 direct) Liaison maritime Port du Bloscon à Roscoff : liaison avec l’Angleterre et l’Irlande (Brittany Ferries et Irish Ferries) Liaison aérienne Aéroport de Brest Bretagne à 50 km;Non;Handicap moteur;;;;08/06/2017;28/03/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Oui;Non;"IBEP; CARSAT SOCIALE; DAVE; CIDFF; SERVICE SOCIAL MARITIME; ARMEE DE TERRE; SYNDICAT MIXTE PLH; ART; CICAS ARRCO";Oui;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Wifi;;Centre communal d'action sociale (CCAS)|Centre social|Communauté de communes|Espace Public Numérique;"As Domicile; Multi-accueil, Relais Petite Enfance.";10/11/2004;11/05/2017;HAUT LEON COMMUNAUTE;;MSAP de Kerhall;Maison de la Formation Professionnelle.;
MSAP des Paysages de la Champagne (CCPC51);La Maison de services au public des Paysages de la Champagne vous accueille 4 jours par semaine, sur 4 lieux différents. Mme LEBON vous accueille et vous accompagne dans toute démarches , et vous pouvez également avoir accès sur chaque lieu à un point informatique avec accès internet , scanner et imprimante, et si besoin un accompagnement .;Oui;DORMANS LUNDI:  9h00 - 12h00 MARDI:   13h30 - 17h30 JEUDI:   (uniquement sur rendez vous ) 13h30 - 17h30 VENDREDI: 9h – 12h00 MONTMORT LUCY   LE LUNDI DE 14H00 à 17H00 CHATILLONS SUR MARNE  JEUDI DE 9H30 à 12H00 LA CHAUSSEE DE DAMERY VENDREDI  DE 14H00 à 17H00;Oui;3 rue du marechal foch;;51700;Dormans;msap@ccpc51.fr;; 07.85.93.51.18;Oui;;Non;;;;;24/02/2016;20/03/2018;Oui;Oui;Oui;Non;Non;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Oui;conciliateur de justice , armée de terre , maison de l'emploi et des métiers;Oui;Accès Internet|Espace de confidentialité|Imprimante|Photocopieuse|Scanner|Téléphone|Visio conférence;;;;02/01/2007;01/12/2011;Communauté de Commune des Coteaux de la Marne;;;PIJ Espace métiers;Antenne espace metier
MSAP du Cap Sizun;;Non;Lundi : 9h00 - 12h15  /  13h30 - 17h00 Mardi : 9h00 - 12h15  /  13h30 - 17h00 Mercredi : 9h00 - 12h15 Jeudi : 9h00 - 12h15  /  13h30 - 17h00 Vendredi : 9h00 - 12h15  /  13h30 - 17h00;Non;17 rue Lamartine;BP50;29770;Audierne;msap@cap-sizun.fr;;02 98 70 08 78;Oui;;Non;Handicap moteur;;;;19/06/2018;21/06/2018;Oui;Non;Oui;Non;Non;Non;Oui;Oui;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;DDTM - Affaires Maritimes, Service Social Maritime, Service OPAH, CDAS;Non;Accès Internet|Espace de confidentialité|Imprimante|Scanner;;Centre intercommunal d'action sociale (CIAS);;02/07/2018;02/07/2018;Communauté de communes Cap Sizun - Pointe du Raz;;;Point Relais FEPEM Adhérent au réseau de Structures de Proximité Emploi Formation (SPEF) Bretagne;
MSAP du Haut Pays Bigouden;La Maison de Services Au Public est installée dans les locaux de la Communauté de Communes du Haut Pays Bigouden à Pouldreuzic. Ce nouveau service communautaire, de proximité, dispose d’un lieu d’accueil et de documentation, d’un Espace Public Numérique (EPN) composé de 2 postes informatiques à disposition des usagers, en libre accès ou accompagné par l’animatrice MSAP. 4 bureaux de permanence ainsi que des salles de réunion sont utilisés par nos partenaires.;Oui;Lundi : 9h - 12h / 13h30 - 17h00 Mardi : 9h - 12h / 13h30 - 17h00 Mercredi : 9h - 12h / 13h30 - 17h00 Jeudi : 9h - 12h / 13h30 - 17h00 Vendredi : Fermé au public;Non;2A, rue de la Mer;;29710;Pouldreuzic;msap@cchpb.com;Site internet;02.98.54.49.04;Oui;;Oui;;;;;04/01/2018;25/06/2018;Oui;Non;Non;Non;Non;Oui;Oui;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Actife Quimper Cornouaille, Citémétrie, Agora Justice, T'es Cap.;Non;Accès Internet|Espace de confidentialité|Fax|Imprimante|Photocopieuse|Scanner|Téléphone;;Communauté de communes|Espace Public Numérique;;04/09/2017;20/12/2017;Communauté de Communes du Haut Pays Bigouden;;;;
MSAP du Pays Créçois;Fermeture annuelle de la MSAP du vendredi 22 décembre au lundi 1er janvier inclus;Oui;Lundi: 9h - 12h30 / 14h - 17h30 Mardi: 9h - 12h30 / 14h - 17h30 Mercredi: 9h - 12h30 / 14h - 17h30 Jeudi: 9h - 12h30 / 14h - 17h30;Non;3 rue de la Chapelle;;77580;Crécy-la-Chapelle;msap@payscrecois.net;Site internet;01 64 63 75 39;Oui;Ligne P Esbly- Crécy la Chapelle;Non;Handicap moteur;;;;09/12/2016;22/12/2017;Oui;Non;Oui;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Oui;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Non;Oui;Association Aide à l'Insertion Professionnelle (AIP);Non;Accès Internet|Imprimante|Photocopieuse|Scanner|Téléphone;;Communauté de communes;;;;Communauté de Communes du Pays Créçois;;;;
